#Release 9.2.04i - par J.40
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Fri Jan 12 23:06:40 2024

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       PIC24_map.ncd
#OUTPUT FILE:      PIC24_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
C2,,DIFFS,IO_L16N_7,UNUSED,,7,,,,,,,,,,
C3,,DIFFM,IO_L16P_7/VREF_7,UNUSED,,7,,,,,,,,,,
C4,,,HSWAP_EN,,,,,,,,,,,,,
C5,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,,
C6,,DIFFS,IO_L28N_0,UNUSED,,0,,,,,,,,,,
C7,OUTW0<7>,IOB,IO_L30N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,YES,NONE,
C8,OUTW0<3>,IOB,IO_L31P_0/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,YES,NONE,
C9,OUTW0<11>,IOB,IO_L32N_1/GCLK5,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,YES,NONE,
C10,OUTW0<4>,IOB,IO,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,YES,NONE,
C11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,,
D1,,DIFFS,IO_L17N_7,UNUSED,,7,,,,,,,,,,
D2,,DIFFM,IO_L17P_7,UNUSED,,7,,,,,,,,,,
D3,,DIFFM,IO_L19P_7,UNUSED,,7,,,,,,,,,,
D4,,,VCCINT,,,,,,,,1.2,,,,,
D5,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,,
D6,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,,
D7,OUTW0<15>,IOB,IO_L29P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,YES,NONE,
D8,OUTW0<5>,IOB,IO_L31N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,YES,NONE,
D9,OUTW0<0>,IOB,IO_L32P_1/GCLK4,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,YES,NONE,
D10,OUTW0<14>,IOB,IO_L30N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,YES,NONE,
D11,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,,
D14,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,,,,,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,,
E1,,DIFFS,IO_L20N_7,UNUSED,,7,,,,,,,,,,
E2,,DIFFM,IO_L20P_7,UNUSED,,7,,,,,,,,,,
E3,,DIFFS,IO_L19N_7/VREF_7,UNUSED,,7,,,,,,,,,,
E4,,DIFFM,IO_L21P_7,UNUSED,,7,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,,
E6,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,,
E7,OUTW0<1>,IOB,IO_L29N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,YES,NONE,
E8,,,VCCO_0,,,0,,,,,2.50,,,,,
E9,,,VCCO_1,,,1,,,,,2.50,,,,,
E10,OUTW0<9>,IOB,IO_L30P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,YES,NONE,
E11,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,,
E12,,,VCCINT,,,,,,,,1.2,,,,,
E13,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,,
E14,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,,
F2,,DIFFS,IO_L22N_7,UNUSED,,7,,,,,,,,,,
F3,,DIFFM,IO_L22P_7,UNUSED,,7,,,,,,,,,,
F4,,DIFFS,IO_L21N_7,UNUSED,,7,,,,,,,,,,
F5,,DIFFM,IO_L23P_7,UNUSED,,7,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,,
F9,,,VCCO_1,,,1,,,,,2.50,,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,,
F11,,,GND,,,,,,,,,,,,,
F12,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,,
F13,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,,
F14,INW1<9>,IOB,IO_L22N_2,INPUT,LVCMOS25,2,,,,NONE,,,,NO,NONE,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,,
G1,,DIFFM,IO_L40P_7,UNUSED,,7,,,,,,,,,,
G2,,DIFFS,IO,UNUSED,,7,,,,,,,,,,
G3,,DIFFS,IO_L24N_7,UNUSED,,7,,,,,,,,,,
G4,,DIFFM,IO_L24P_7,UNUSED,,7,,,,,,,,,,
G5,,DIFFS,IO_L23N_7,UNUSED,,7,,,,,,,,,,
G6,,,VCCO_7,,,7,,,,,2.50,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,,
G12,INW1<5>,IOB,IO_L23N_2/VREF_2,INPUT,LVCMOS25,2,,,,NONE,,,,NO,NONE,
G13,INW0<5>,IOB,IO_L23P_2,INPUT,LVCMOS25,2,,,,NONE,,,,NO,NONE,
G14,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,,,,,
G15,INW0<9>,IOB,IO_L24P_2,INPUT,LVCMOS25,2,,,,NONE,,,,NO,NONE,
G16,,DIFFM,IO,UNUSED,,2,,,,,,,,,,
H1,,DIFFS,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,,,,
H2,,,GND,,,,,,,,,,,,,
H3,INW1<15>,IOB,IO_L39N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
H4,INW0<15>,IOB,IO_L39P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,,
H7,,,GND,,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,,
H13,,DIFFS,IO_L39N_2,UNUSED,,2,,,,,,,,,,
H14,,DIFFM,IO_L39P_2,UNUSED,,2,,,,,,,,,,
H15,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,,
H16,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,,
J1,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,,,,
J2,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,,
J3,,DIFFM,IO_L39P_6,UNUSED,,6,,,,,,,,,,
J4,,DIFFS,IO_L39N_6,UNUSED,,6,,,,,,,,,,
J5,,,VCCO_6,,,6,,,,,2.50,,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,,
J7,,,GND,,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,any******,,,,,
J12,,,VCCO_3,,,3,,,,,any******,,,,,
J13,,DIFFM,IO_L39P_3,UNUSED,,3,,,,,,,,,,
J14,,DIFFS,IO_L39N_3,UNUSED,,3,,,,,,,,,,
J15,,,GND,,,,,,,,,,,,,
J16,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,,
K1,,DIFFM,IO,UNUSED,,6,,,,,,,,,,
K2,,DIFFM,IO_L24P_6,UNUSED,,6,,,,,,,,,,
K3,,DIFFS,IO_L24N_6/VREF_6,UNUSED,,6,,,,,,,,,,
K4,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,,
K5,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,,
K6,,,VCCO_6,,,6,,,,,2.50,,,,,
K7,,,GND,,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,any******,,,,,
K12,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,,
K13,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,,
K14,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,,
K15,,DIFFS,IO,UNUSED,,3,,,,,,,,,,
K16,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,,
L1,,,VCCAUX,,,,,,,,2.5,,,,,
L2,INW0<8>,IOB,IO_L22P_6,INPUT,LVCMOS25,6,,,,NONE,,,,NO,NONE,
L3,INW1<6>,IOB,IO_L22N_6,INPUT,LVCMOS25,6,,,,NONE,,,,NO,NONE,
L4,INW0<6>,IOB,IO_L21P_6,INPUT,LVCMOS25,6,,,,NONE,,,,NO,NONE,
L5,INW1<8>,IOB,IO_L21N_6,INPUT,LVCMOS25,6,,,,NONE,,,,NO,NONE,
L6,,,GND,,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,,DIFFM,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,,,,
L13,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,,,,,
L14,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,,
L15,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,,
M1,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,,
M2,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,,,,,
M3,,DIFFM,IO_L19P_6,UNUSED,,6,,,,,,,,,,
M4,,DIFFS,IO_L19N_6,UNUSED,,6,,,,,,,,,,
M5,,,VCCINT,,,,,,,,1.2,,,,,
M6,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,,
M7,INW1<4>,IOB,IO_L30P_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
M8,,,VCCO_5,,,5,,,,,2.50,,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,,
M10,INW1<14>,IOB,IO_L29N_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
M11,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,,
M13,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,,
M14,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,,
M15,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,,
M16,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,,
N1,,DIFFM,IO_L17P_6/VREF_6,UNUSED,,6,,,,,,,,,,
N2,,DIFFS,IO_L17N_6,UNUSED,,6,,,,,,,,,,
N3,,DIFFM,IO_L16P_6,UNUSED,,6,,,,,,,,,,
N4,,,VCCINT,,,,,,,,1.2,,,,,
N5,INW1<12>,IOB,IO,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
N6,INW0<2>,IOB,IO_L28N_5/D6,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
N7,INW0<10>,IOB,IO_L30N_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
N8,INW1<1>,IOB,IO_L32P_5/GCLK2,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
N9,INW0<11>,IOB,IO_L31N_4/INIT_B,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
N10,INW0<7>,IOB,IO_L29P_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
N11,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,,
N12,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,,
N14,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,,
N15,,DIFFM,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,,,,,
N16,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,,,,,
P1,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,,
P2,,DIFFS,IO_L16N_6,UNUSED,,6,,,,,,,,,,
P3,,,M0,,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,,
P5,,DIFFM,IO_L27P_5,UNUSED,,5,,,,,,,,,,
P6,INW0<4>,IOB,IO_L29P_5/VREF_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
P7,INW1<2>,IOB,IO,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
P8,INW0<1>,IOB,IO_L32N_5/GCLK3,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
P9,INW1<0>,IOB,IO_L31P_4/DOUT/BUSY,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
P10,INW0<14>,IOB,IO_L30N_4/D2,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
P11,,DIFFS,IO_L28N_4,UNUSED,,4,,,,,,,,,,
P12,,DIFFS,IO_L25N_4,UNUSED,,4,,,,,,,,,,
P13,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,,
P14,,DIFFM,IO_L16P_3,UNUSED,,3,,,,,,,,,,
P15,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,,
P16,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,,
R1,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,,
R2,,,GND,,,,,,,,,,,,,
R3,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,,
R4,,DIFFM,IO_L10P_5/VRN_5,UNUSED,,5,,,,,,,,,,
R5,,DIFFS,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,,,,
R6,INW1<10>,IOB,IO_L29N_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
R7,INW0<12>,IOB,IO_L31P_5/D5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
R8,,,GND,,,,,,,,,,,,,
R9,INW0<0>,IOB,IO_L32N_4/GCLK1,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
R10,INW1<11>,IOB,IO_L30P_4/D3,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
R11,INW1<7>,IOB,IO_L28P_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
R12,,DIFFM,IO_L25P_4,UNUSED,,4,,,,,,,,,,
R13,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,,
R14,,,DONE,,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,,
R16,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,,
T1,,,GND,,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,,
T3,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,,
T4,,DIFFS,IO_L10N_5/VRP_5,UNUSED,,5,,,,,,,,,,
T5,,IOB,IO,UNUSED,,5,,,,,,,,,,
T6,,,VCCAUX,,,,,,,,2.5,,,,,
T7,INW0<13>,IOB,IO_L31N_5/D4,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
T8,INW1<13>,IOB,IO/VREF_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
T9,INW1<3>,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
T10,INW0<3>,IOB,IO/VREF_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
T11,,,VCCAUX,,,,,,,,2.5,,,,,
T12,,IOB,IO,UNUSED,,4,,,,,,,,,,
T13,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,,
T14,,DIFFS,IO,UNUSED,,4,,,,,,,,,,
T15,,,CCLK,,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
